id|card_code|set_id|colour|name|card_type|rarity|artist_id|description|normal_amount|foil_amount|hologram_amount|gold_amount
222|P1-001|1|Green|Forest|0|Common|7|0|40|10|4|0
223|P1-002|1|Red|Hills|0|Common|7|0|40|10|4|0
224|P1-003|1|Yellow|Desert|0|Common|7|0|40|10|4|0
225|P1-004|1|Blue|Sand Castle|3|Rare|8|It is a child's play to make something this sturdy.|5|5|2|1
226|P1-005|1|Green|Tadpole Pool|4|Uncommon|8|New life emerges every day.|15|5|1|0
227|P1-006|1|Red|Earthworks|3|Uncommon|8|One hole is better than no hole.|15|5|1|0
228|P1-007|1|Yellow|Summoning Circle|2|Uncommon|8|I summon thee, the Sleeping One.|15|5|1|0
229|P1-008|1|Brown|False Floor|5|Uncommon|8|I'm sure this is the right way...|15|5|1|0
230|P1-009|1|Colouless|King's Halls|2|Uncommon|8|King Ku-haa the Third|15|5|1|0
231|P1-010|1|Blue|Caratos|7|Common|8|Look away and he'll eat your soul!|15|5|1|0
232|P1-011|1|Green|Golden Rabbit|14|Common|8|I saw a golden rabbit one day. It ran really fast. Like REALLY fast.|25|5|2|1
233|P1-012|1|Red|Dark-one Spy|8|Common|7|You see him now. Oh, you missed him.|25|5|1|0
234|P1-013|1|Red|Earth Elemental|10|Common|7|It blends in to the hillside. It punches you in the face.|25|5|1|0
235|P1-014|1|Red|Iron Spirit|13|Rare|7|Iron claws will tear you apart|10|5|2|1
236|P1-015|1|Yellow|Sand Ghost|13|Common|7|Towering over a thousand foot, it looks down and laughs at you.|25|5|1|0
237|P1-016|1|White|Dog with a Top Hat|14|Common|7|What are you looking at?|25|5|1|0
238|P1-017|1|Blue|Ring of Rain|23|Uncommon|7|Make it rain|15|5|1|0
239|P1-018|1|Green|Armor of Healing|24|Uncommon|7|Clumsy and clanging. Still feels good.|15|5|1|0
240|P1-019|1|Yellow|Immovable Shelter|24|Rare|7|In the wind, it's nice to remain still.|10|2|1|1
241|P1-020|1|Colourless|Tooth and Nail|23|Uncommon|7|Sometimes you need to keep your grip to reality with tooth and nail.|15|5|2|2